영화ID,영화제목,장르,개봉 연도,상영 시간(분),평점,label1,label2,is_certain,긍정 평론 (핵심 요약),부정 평론 (핵심 요약)
M001,기생충,드라마,2019,132,4.3,반전을 보고 싶어,생각하게 만드는 영화를 보고 싶어,1,장르적 관습에 구애받지 않는 독창성과 디테일한 미장센으로 빈부격차라는 전 세계적 화두를 날카롭게 짚어낸 명작이다.,지나치게 작위적이고 냉소적인 시선으로 계급 갈등을 다루어 관객에게 심리적 불편함과 씁쓸함을 남긴다.
M002,암살,액션/스릴러,2015,139,4,긴장감을 느끼고 싶어,친구랑 보고 싶어,1,일제강점기라는 무거운 역사적 소재를 세련된 연출과 대중적인 장르물 어법으로 풀어내며 흥행과 의미를 모두 잡았다.,캐릭터 소비 방식과 신파적 연출이 다소 전형적이며 역사적 깊이보다는 오락성에 치중해 가볍게 소비된 측면이 있다.
M003,신과 함께-죄와 벌,판타지/드라마,2017,139,3.8,울고 싶어,가족이랑 보고 싶어,1,한국형 판타지 장르의 새로운 지평을 열었으며 압도적인 시각효과(VFX)와 보편적인 가족애를 자극하는 감동이 돋보인다.,원작 웹툰의 탄탄한 구성을 헐겁게 각색했으며 지나치게 감정을 쥐어짜는 최루성 신파가 과해서 피로감을 준다.
M004,베를린,액션/스릴러,2013,120,3.5,긴장감을 느끼고 싶어,몰입하고 싶어,1,한국 첩보 액션 영화의 격을 한 단계 끌어올린 세련된 영상미와 묵직하고 사실적인 액션 연출이 탁월하다.,중반 이후 복잡하게 얽힌 캐릭터들의 서사와 첩보 플롯이 엉키면서 전개가 다소 산만하고 힘이 빠진다.
M005,기억의 밤,스릴러/미스터리,2017,109,3.1,반전을 보고 싶어,긴장감을 느끼고 싶어,1,초반부의 미스터리한 분위기와 몰입감 넘치는 전개는 관객의 긴장감을 끝까지 쥐고 흔들 정도로 훌륭하다.,후반부로 갈수록 반전을 설명하기 위해 서사가 급해지며 엉성한 설정과 억지스러운 인과관계가 아쉬움을 남긴다.
M006,살인의 추억,스릴러/범죄,2003,132,4.1,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,한국형 스릴러의 마스터피스로 불리며 치밀한 연출과 시대상을 담아낸 각본 그리고 배우들의 미친 연기력이 완벽한 조화를 이룬다.,미제 사건의 암담함을 다루는 과정에서 느껴지는 시대적 무력감과 특유의 어두운 분위기가 관객에 따라 답답함을 줄 수 있다.
M007,뷰티 인사이드,로맨스/코미디,2015,127,3.8,설레고 싶어,음악이 좋은 영화를 보고 싶어,1,'매일 얼굴이 바뀐다'는 참신한 설정을 시각적으로 아름답고 따뜻하게 풀어낸 감성 멜로의 수작이다.,내면의 아름다움을 강조하는 기획 의도와 달리 결정적인 순간마다 미남·미녀 배우를 전면에 내세우는 외모지상주의적 한계가 있다.
M008,곡성,공포/미스터리,2016,156,3.8,긴장감을 느끼고 싶어,생각하게 만드는 영화를 보고 싶어,1,압도적인 에너지와 장르적 카타르시스를 선사하며 목격과 의심이라는 본질적인 공포를 극한까지 밀어붙인다.,명백한 플롯의 인과관계를 책임 없이 흐리며 의도적인 트릭과 열린 결말로 관객을 기만하고 조롱하는 듯한 불쾌감을 준다.
M009,부당거래,범죄/스릴러,2010,119,3.9,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,지독하리만큼 현실적인 검경과 언론의 카르텔을 웰메이드 범죄 드라마로 완벽하게 풍자해 씁쓸한 카타르시스를 준다.,반복되는 배신과 비리의 사슬 속에서 일말의 구원이나 긍정적인 메시지가 전무해 보고 나면 심한 환멸감이 든다.
M010,도그데이즈,코미디/드라마,2024,120,2.9,감동받고 싶어,가족이랑 보고 싶어,1,반려견을 매개로 한 다양한 인간 군상의 따뜻한 연대와 자극적이지 않은 힐링 스토리로 온 가족이 편안하게 즐기기 좋다.,전형적인 JK필름 특유의 작위적인 감동 플롯을 답습했으며 여러 에피소드를 병렬식으로 배치해 전개가 다소 산만하다.
